name,salary_from,salary_to,salary_currency,area_name,published_at
Системный администратор,253000,266000,KZT,Павлодар,2022-12-08T05:15:34+0300
Дизайнер,40000,40000,RUR,Мурманск,2022-12-08T01:46:39+0300
Бизнес-ассистент руководителя (Wildberries) / Product manager по работе с маркетплейсом Wildberries,50000,None,RUR,Москва,2022-12-08T01:23:32+0300
PHP программист (fullstack/backend),40000,80000,RUR,Иркутск,2022-12-08T05:13:55+0300
Помощник Web-программист,25000,50000,RUR,Иркутск,2022-12-08T03:25:40+0300
Инженер ОПС,65000,72000,RUR,Новокузнецк,2022-12-08T05:54:52+0300
Техник / монтажник в отдел обслуживания ВОЛС и систем видеонаблюдения,40000,None,RUR,Ярославль,2022-12-08T02:35:18+0300
Инженер-программист,75000,80000,RUR,Челябинск,2022-12-08T05:59:30+0300
Механик-наладчик,40000,None,RUR,Воронеж,2022-12-08T02:35:19+0300
Ведущий специалист-эксперт отдела эксплуатации информационных систем и каналов связи,30000,35000,RUR,Барнаул,2022-12-08T04:24:13+0300
Бизнес-ассистент руководителя (удаленно),25000,55000,RUR,Москва,2022-12-08T01:16:00+0300
Инженер технической поддержки (2-я линия),24000,None,RUR,Ярославль,2022-12-08T02:35:18+0300
Механик-наладчик,40000,None,RUR,Острогожск,2022-12-08T02:35:19+0300
Токарь,80000,None,RUR,Санкт-Петербург,2022-12-08T02:35:27+0300
PHP Developer (middle),150000,200000,RUR,Санкт-Петербург,2022-12-08T00:50:53+0300
Токарь,80000,None,RUR,Тосно,2022-12-08T02:35:27+0300
Технический специалист,50000,60000,RUR,Новосибирск,2022-12-08T05:20:18+0300
Системный администратор,70000,90000,RUR,Владивосток,2022-12-08T05:39:02+0300
Системный администратор Linux/Windows в команду System & Infrastructure,None,None,,Москва,2022-12-08T02:30:57+0300
Разработчик БД,None,None,,Нижний Новгород,2022-12-08T00:02:59+0300
Системный администратор,253000,266000,KZT,Павлодар,2022-12-08T05:15:34+0300
Дизайнер,40000,40000,RUR,Мурманск,2022-12-08T01:46:39+0300
Бизнес-ассистент руководителя (Wildberries) / Product manager по работе с маркетплейсом Wildberries,50000,None,RUR,Москва,2022-12-08T01:23:32+0300
PHP программист (fullstack/backend),40000,80000,RUR,Иркутск,2022-12-08T05:13:55+0300
Помощник Web-программист,25000,50000,RUR,Иркутск,2022-12-08T03:25:40+0300
Инженер ОПС,65000,72000,RUR,Новокузнецк,2022-12-08T05:54:52+0300
Техник / монтажник в отдел обслуживания ВОЛС и систем видеонаблюдения,40000,None,RUR,Ярославль,2022-12-08T02:35:18+0300
Инженер-программист,75000,80000,RUR,Челябинск,2022-12-08T05:59:30+0300
Механик-наладчик,40000,None,RUR,Воронеж,2022-12-08T02:35:19+0300
Ведущий специалист-эксперт отдела эксплуатации информационных систем и каналов связи,30000,35000,RUR,Барнаул,2022-12-08T04:24:13+0300
Бизнес-ассистент руководителя (удаленно),25000,55000,RUR,Москва,2022-12-08T01:16:00+0300
Инженер технической поддержки (2-я линия),24000,None,RUR,Ярославль,2022-12-08T02:35:18+0300
